"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,17,"Plug-in: Target-audit same-X",0.059200513117565,0.0570926562306611,0.120522649582625,0.875746878720427
"transported",0.01,17,"Augmented: External same-X",0.0550171417731689,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,17,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,17,"Augmented: External same-X distorted",0.0513880036260076,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,17,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,17,"Augmented: External same-X recalibrated",0.0581747771287606,0.0570926562306611,0.105578870206405,0.902250676272068
"transported",0.01,17,"Plug-in: External same-X recalibrated",0.0547786871532432,0.0570926562306611,0.105578870206405,0.902250676272068
"transported",0.01,17,"Augmented: External BISG-like",0.0571668060566774,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,17,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,18,"IPW",0.0488099244075924,0.0570926562306611,NA,NA
"transported",0.01,18,"Augmented: Target-audit same-X",0.0444390217280743,0.0570926562306611,0.139187695079158,0.865133961768748
"transported",0.01,18,"Plug-in: Target-audit same-X",0.0467671895749008,0.0570926562306611,0.139187695079158,0.865133961768748
"transported",0.01,18,"Augmented: External same-X",0.0446926298325532,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,18,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,18,"Augmented: External same-X distorted",0.0455414150462649,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,18,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,18,"Augmented: External same-X recalibrated",0.044945099690285,0.0570926562306611,0.113101111565851,0.902575777231822
"transported",0.01,18,"Plug-in: External same-X recalibrated",0.0547932579279494,0.0570926562306611,0.113101111565851,0.902575777231822
"transported",0.01,18,"Augmented: External BISG-like",0.0452022036436236,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,18,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,19,"IPW",0.0286240631395697,0.0570926562306611,NA,NA
"transported",0.01,19,"Augmented: Target-audit same-X",0.0470125028800715,0.0570926562306611,0.120676622224077,0.87702524707673
"transported",0.01,19,"Plug-in: Target-audit same-X",0.0484085703518638,0.0570926562306611,0.120676622224077,0.87702524707673
"transported",0.01,19,"Augmented: External same-X",0.0513386487369848,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,19,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,19,"Augmented: External same-X distorted",0.0556881140553761,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,19,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,19,"Augmented: External same-X recalibrated",0.050226721626029,0.0570926562306611,0.104020866686242,0.906721318801915
"transported",0.01,19,"Plug-in: External same-X recalibrated",0.0569146552880804,0.0570926562306611,0.104020866686242,0.906721318801915
"transported",0.01,19,"Augmented: External BISG-like",0.0442666838914045,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,19,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,20,"IPW",0.0523927581148708,0.0570926562306611,NA,NA
"transported",0.01,20,"Augmented: Target-audit same-X",0.0586264805987554,0.0570926562306611,0.112221146455791,0.901149212495298
"transported",0.01,20,"Plug-in: Target-audit same-X",0.0573616005187645,0.0570926562306611,0.112221146455791,0.901149212495298
"transported",0.01,20,"Augmented: External same-X",0.0575965834177097,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,20,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,20,"Augmented: External same-X distorted",0.0548023606467516,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,20,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,20,"Augmented: External same-X recalibrated",0.0565094119908202,0.0570926562306611,0.105062685521802,0.908608456163045
