"scenario","audit_rate","method","n_rep","mean_estimate","true_moment","bias","sd","rmse","mean_brier","mean_auc"
"prior_shift",0.1,"Plug-in: External same-X distorted",100,0.0738304888005812,0.0678071585649271,0.00602333023565405,0,0.00602333023565405,0.121534345229959,0.907541914036222
"transported",0.1,"Plug-in: External same-X distorted",100,0.0666616666273459,0.0570926562306611,0.00956901039668472,0,0.00956901039668472,0.112782257767614,0.909079503400913
"feature_shift",0.2,"Plug-in: External same-X distorted",100,0.0435771406400125,0.0078856042776328,0.0356915363623797,0,0.0356915363623797,0.197921275228538,0.792314639540441
"prior_shift",0.2,"Plug-in: External same-X distorted",100,0.0738304888005812,0.0678071585649271,0.00602333023565405,0,0.00602333023565405,0.121534345229959,0.907541914036222
"transported",0.2,"Plug-in: External same-X distorted",100,0.0666616666273459,0.0570926562306611,0.00956901039668472,0,0.00956901039668472,0.112782257767614,0.909079503400913
"feature_shift",0.01,"Plug-in: External same-X recalibrated",100,0.0329508695781716,0.0078856042776328,0.0250652653005388,0.0052414325576922,0.0256020587783612,0.184961066844732,0.789085330029498
"prior_shift",0.01,"Plug-in: External same-X recalibrated",100,0.0677349263976298,0.0678071585649271,-7.22321672973645e-05,0.00501062402228556,0.00498603119201741,0.12333529031286,0.905602067780891
"transported",0.01,"Plug-in: External same-X recalibrated",100,0.056479922042904,0.0570926562306611,-0.00061273418775715,0.00592604883982384,0.00592809560384312,0.108585468230966,0.9062369560029
"feature_shift",0.02,"Plug-in: External same-X recalibrated",100,0.0340276049799388,0.0078856042776328,0.026142000702306,0.00367034803780494,0.0263958508271812,0.181974358090808,0.790732328438493
"prior_shift",0.02,"Plug-in: External same-X recalibrated",100,0.0675918183672261,0.0678071585649271,-0.000215340197701042,0.00365764033897775,0.00364567153232022,0.120830405314508,0.906674854843871
"transported",0.02,"Plug-in: External same-X recalibrated",100,0.0567045332814285,0.0570926562306611,-0.000388122949232627,0.00375230997490057,0.00375362108769411,0.1052303808635,0.907929234909419
"feature_shift",0.05,"Plug-in: External same-X recalibrated",100,0.0339997776713338,0.0078856042776328,0.026114173393701,0.00217840840729861,0.0262039703211819,0.180353228415956,0.791663641231405
"prior_shift",0.05,"Plug-in: External same-X recalibrated",100,0.0675066284833847,0.0678071585649271,-0.000300530081542421,0.00214815889193241,0.00215841587481428,0.119628347780877,0.907097311101097
"transported",0.05,"Plug-in: External same-X recalibrated",100,0.0566237102523358,0.0570926562306611,-0.000468945978325327,0.00245810832378483,0.00249033810891878,0.104061941477535,0.908555411169693
"feature_shift",0.1,"Plug-in: External same-X recalibrated",100,0.0335256395740275,0.0078856042776328,0.0256400352963947,0.00146344223006538,0.0256813484172754,0.17977827691911,0.791910611501053
"prior_shift",0.1,"Plug-in: External same-X recalibrated",100,0.0672438214493899,0.0678071585649271,-0.000563337115537253,0.00142228490545218,0.0015231592544761,0.119104397422932,0.907267415143262
"transported",0.1,"Plug-in: External same-X recalibrated",100,0.0568151562716695,0.0570926562306611,-0.000277499958991611,0.00152658401427679,0.0015440726642096,0.103618309299734,0.908768681278778
"feature_shift",0.2,"Plug-in: External same-X recalibrated",100,0.0335001909675047,0.0078856042776328,0.0256145866898719,0.00106198877005448,0.0256363724664627,0.179591565018854,0.792020146704651
"prior_shift",0.2,"Plug-in: External same-X recalibrated",100,0.0673722052832092,0.0678071585649271,-0.000434953281717934,0.00100322995441393,0.0010888480129459,0.118909690235139,0.90736082972484
"transported",0.2,"Plug-in: External same-X recalibrated",100,0.056833572687826,0.0570926562306611,-0.000259083542835094,0.00107654723771739,0.00110203842839284,0.103420692601633,0.908854618885464
