"audit_rate","replicate","method","path_type","lambda","selected","audited_train_n","audited_validation_n","training_estimated_moment","validation_estimated_moment","converged","gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,1,"SoftProxy","exact",0.01,FALSE,175,57,0.00203276099723505,0.000905178070351427,TRUE,6.69661745659775e-07,0.459985179425407,0.739071201752777,0.810293137908061,0.0225449601645175,0.0156520388847017,0.0225449601645175,0.0156520388847017,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",0.0316227766016838,FALSE,175,57,0.00203266555857267,0.000905086243489901,TRUE,2.10936050647812e-06,0.459985152292644,0.739072006074236,0.810293137908061,0.0225448641555731,0.0156519702570421,0.0225448641555731,0.0156519702570421,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",0.1,FALSE,175,57,0.0020323638491244,0.000904795953892618,TRUE,6.66410140338191e-06,0.459985066635235,0.739073936445736,0.810293137908061,0.0225445605739224,0.015651753243786,0.0225445605739224,0.015651753243786,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",0.316227766016838,FALSE,175,57,0.00202916883052316,0.000901661445520137,TRUE,1.41343292729023e-05,0.459983527999659,0.739072166938527,0.810293137908061,0.0225422883320048,0.015650210890624,0.0225422883320048,0.015650210890624,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",1,FALSE,175,57,0.00201767935806152,0.000890364152994988,TRUE,1.2831816272923e-05,0.459978896490226,0.739083910031819,0.810293137908061,0.0225371253533369,0.0156467736722798,0.0225371253533369,0.0156467736722798,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"SoftProxy","exact",3.16227766016838,FALSE,175,57,0.00198375795379642,0.000857023232923187,TRUE,1.38836690401939e-05,0.459967794629871,0.739101765968194,0.810459693537642,0.0225180655787134,0.015632439504041,0.0225180655787134,0.015632439504041,0.0210930701105938,0.00706357858231177,0.0210930701105938,0.00706357858231177
0.01,1,"SoftProxy","exact",10,FALSE,175,57,0.00188462637314111,0.000759976900163966,TRUE,1.07616359979398e-05,0.459936600041666,0.73913039981211,0.810126582278481,0.0224665144408315,0.0155978198113859,0.0224665144408315,0.0155978198113859,0.0203968633589886,0.00671526788917343,0.0203968633589886,0.00671526788917343
0.01,1,"SoftProxy","exact",31.6227766016838,FALSE,175,57,0.00162846128650852,0.000508999131820562,TRUE,1.1117705648403e-05,0.459864996776851,0.739211958007985,0.80979347101932,0.022330979255122,0.0155042157979824,0.022330979255122,0.0155042157979824,0.0199896218347322,0.00657327767316884,0.0199896218347322,0.00657327767316884
0.01,1,"SoftProxy","exact",100,FALSE,175,57,0.00114041672138476,3.14270665258716e-05,TRUE,1.37253580767163e-05,0.459773017341387,0.739341936355652,0.80979347101932,0.022067793619491,0.0153224688445187,0.022067793619491,0.0153224688445187,0.0205413459726628,0.00692158836630696,0.0205413459726628,0.00692158836630696
0.01,1,"SoftProxy","exact",316.227766016838,TRUE,175,57,0.000586675651754684,0.000509783462394067,TRUE,1.39473638451403e-05,0.459743108135636,0.739372983163943,0.80979347101932,0.0217630304699312,0.0151115867632376,0.0217630304699312,0.0151115867632376,0.0201341044484064,0.00803085070685028,0.0201341044484064,0.00803085070685028
0.01,1,"SoftProxy","exact",1000,FALSE,175,57,0.000231728471069473,0.000856467871671045,TRUE,1.54578430621578e-05,0.459766334845444,0.739358505377693,0.80962691538974,0.0215635209164898,0.0149728961092137,0.0215635209164898,0.0149728961092137,0.019976518676349,0.00817284092285542,0.019976518676349,0.00817284092285542
0.01,1,"SoftProxy","exact",3162.27766016838,FALSE,175,57,7.95131566118902e-05,0.00100494709254013,TRUE,1.53714941749249e-05,0.459785467173804,0.739315393747527,0.80962691538974,0.0214771522794891,0.0149130403936987,0.0214771522794891,0.0149130403936987,0.0189913466973951,0.00706357858231188,0.0189913466973951,0.00706357858231188
0.01,1,"SoftProxy","exact",10000,FALSE,175,57,2.59297462194241e-05,0.00105730837855196,TRUE,4.25217941988015e-05,0.459793034802017,0.739321345726318,0.80929380413058,0.021447704330419,0.0148924383260324,0.021447704330419,0.0148924383260324,0.0181506573321156,0.00706357858231188,0.0181506573321156,0.00706357858231188
0.01,1,"IPW","exact",0,FALSE,175,57,0.00550242489377126,0.0236296780270857,TRUE,1.05052121372752e-13,0.459985191766892,0.739071040888486,0.810293137908061,0.02254500432315,0.0156520704595693,0.02254500432315,0.0156520704595693,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"IPW","exact",0.001,FALSE,175,57,0.00550240282720228,0.0236296714842223,TRUE,3.72536694333206e-07,0.459985190650226,0.739070880024194,0.810293137908061,0.0225449994750873,0.0156520679787376,0.0225449994750873,0.0156520679787376,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"IPW","exact",0.00316227766016838,FALSE,175,57,0.00550234234648053,0.0236296552460969,TRUE,1.11356471890385e-06,0.459985187230237,0.739070880024194,0.810293137908061,0.0225449940037186,0.0156520672783791,0.0225449940037186,0.0156520672783791,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"IPW","exact",0.01,FALSE,175,57,0.00550215124721644,0.0236296042771582,TRUE,3.48605746888989e-06,0.459985177093961,0.739072006074236,0.810293137908061,0.0225449739848721,0.0156520627616189,0.0225449739848721,0.0156520627616189,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"IPW","exact",0.0316227766016838,FALSE,175,57,0.00550154926790407,0.0236294439016215,TRUE,1.09891818003693e-05,0.459985145174618,0.739074579902902,0.810293137908061,0.0225449114630824,0.0156520489112283,0.0225449114630824,0.0156520489112283,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"IPW","exact",0.1,FALSE,175,57,0.00548724711516523,0.0236284201974966,TRUE,1.0905252440516e-05,0.459984864713665,0.739084553488986,0.810459693537642,0.0225486347641779,0.0156553585500728,0.0225486347641779,0.0156553585500728,0.0205413459726628,0.00671526788917332,0.0205413459726628,0.00671526788917332
0.01,1,"IPW","exact",0.316227766016838,FALSE,175,57,0.00544794568207474,0.0236303415660464,TRUE,1.08611306852071e-05,0.459980637157831,0.739110935232819,0.810459693537642,0.0225534622068037,0.0156585822766441,0.0225534622068037,0.0156585822766441,0.0205413459726628,0.00671526788917332,0.0205413459726628,0.00671526788917332
0.01,1,"IPW","exact",1,FALSE,175,57,0.00533175598596457,0.0236249140095149,TRUE,1.34105929429654e-05,0.459972151507035,0.739161768348985,0.810459693537642,0.0225683206441027,0.0156707214824645,0.0225683206441027,0.0156707214824645,0.0203968633589886,0.00706357858231177,0.0203968633589886,0.00706357858231177
0.01,1,"IPW","exact",3.16227766016838,FALSE,175,57,0.00499561347729182,0.0236103210537635,TRUE,1.11494947693608e-05,0.45995412981165,0.739288207682235,0.810459693537642,0.0226134807674425,0.0157080112447702,0.0226134807674425,0.0157080112447702,0.0203968633589886,0.00706357858231177,0.0203968633589886,0.00706357858231177
0.01,1,"IPW","exact",10,FALSE,175,57,0.00416269892360758,0.0235698579814557,TRUE,1.51167873936425e-05,0.459938019324209,0.739627309609068,0.80979347101932,0.0227237770108519,0.015798577446394,0.0227237770108519,0.015798577446394,0.0195561739937091,0.00671526788917343,0.0195561739937091,0.00671526788917343
0.01,1,"IPW","exact",31.6227766016838,TRUE,175,57,0.00271597430215453,0.0235041852229008,TRUE,7.88043426578421e-06,0.460006121719521,0.740084003333108,0.80962691538974,0.0229158268955009,0.0159593840846917,0.0229158268955009,0.0159593840846917,0.0168765201258138,0.00519336459436293,0.0168765201258138,0.00519336459436293
0.01,1,"IPW","exact",100,FALSE,175,57,0.0012894573376819,0.0234328501522891,TRUE,9.20599877707905e-06,0.460199331854759,0.740301652719733,0.808461025982678,0.0230934457063462,0.0161089140506633,0.0230934457063462,0.0161089140506633,0.0173889347885956,0.00693491806005431,0.0173889347885956,0.00693491806005431
0.01,1,"IPW","exact",316.227766016838,FALSE,175,57,0.000483595419859594,0.0233898343482581,TRUE,1.20949004813941e-05,0.460361253987411,0.740324334584857,0.807295136575616,0.0231866390014581,0.0161877005525813,0.0231866390014581,0.0161877005525813,0.0179275557681433,0.00874080178687431,0.0179275557681433,0.00874080178687431
0.01,1,"IPW","exact",1000,FALSE,175,57,0.000162712997917877,0.0233736143682379,TRUE,2.90436071682396e-05,0.460436397965286,0.740323851991982,0.807461692205197,0.0232232777976481,0.016218801243052,0.0232232777976481,0.016218801243052,0.0182034178371092,0.00908911248001265,0.0182034178371092,0.00908911248001265
0.01,1,"IPW","exact",3162.27766016838,FALSE,175,57,5.23710683745514e-05,0.0233682079656365,TRUE,1.56630642336176e-05,0.46046336767465,0.740328356192149,0.807461692205197,0.0232355884313507,0.016229396966977,0.0232355884313507,0.016229396966977,0.0182034178371092,0.00908911248001265,0.0182034178371092,0.00908911248001265
