"audit_rate","replicate","method","audited_n","estimate","truth","error","squared_error"
0.02,2,"SoftProxyMisspecified",359,-0.00292821016585619,0.00529178061490759,-0.00821999078076378,6.75682484358415e-05
0.02,2,"AugmentedMisspecified",359,-0.00284084249400362,0.00529178061490759,-0.00813262310891121,6.61395586315966e-05
0.02,3,"True",389,0.00529178061490759,0.00529178061490759,0,0
0.02,3,"SoftProxy",389,0.0106168785201503,0.00529178061490759,0.00532509790524267,2.83566677004199e-05
0.02,3,"HardProxy",389,0.0278899532641045,0.00529178061490759,0.0225981726491969,0.00051067740708291
0.02,3,"IPW",389,0.0191148784611463,0.00529178061490759,0.0138230978462387,0.000191078034066689
0.02,3,"Augmented",389,0.0124879915634866,0.00529178061490759,0.00719621094857901,5.17854520164484e-05
0.02,3,"SoftProxyMisspecified",389,0.00916533291382911,0.00529178061490759,0.00387355229892152,1.50044074124802e-05
0.02,3,"AugmentedMisspecified",389,0.0122349960906697,0.00529178061490759,0.00694321547576209,4.82082411428622e-05
0.02,4,"True",363,0.00529178061490759,0.00529178061490759,0,0
0.02,4,"SoftProxy",363,0.0106725786104302,0.00529178061490759,0.00538079799552266,2.89529870686207e-05
0.02,4,"HardProxy",363,0.0234413422526567,0.00529178061490759,0.0181495616377491,0.000329406587642453
0.02,4,"IPW",363,0.00870316176430381,0.00529178061490759,0.00341138114939622,1.16375213464559e-05
0.02,4,"Augmented",363,0.00963357280866612,0.00529178061490759,0.00434179219375853,1.88511594537825e-05
0.02,4,"SoftProxyMisspecified",363,0.0114731730609339,0.00529178061490759,0.00618139244602632,3.82096125717913e-05
0.02,4,"AugmentedMisspecified",363,0.0105360861059508,0.00529178061490759,0.00524430549104325,2.75027400833864e-05
0.02,5,"True",373,0.00529178061490759,0.00529178061490759,0,0
0.02,5,"SoftProxy",373,0.00257438379245361,0.00529178061490759,-0.00271739682245398,7.38424549068299e-06
0.02,5,"HardProxy",373,0.008440212518912,0.00529178061490759,0.00314843190400441,9.91262345415285e-06
0.02,5,"IPW",373,-0.00282544187443448,0.00529178061490759,-0.00811722248934207,6.58893009414807e-05
0.02,5,"Augmented",373,0.0020602287946177,0.00529178061490759,-0.00323155182028989,1.04429271672189e-05
0.02,5,"SoftProxyMisspecified",373,0.00385166357162802,0.00529178061490759,-0.00144011704327957,2.07393709834428e-06
0.02,5,"AugmentedMisspecified",373,-0.000880235043713009,0.00529178061490759,-0.0061720156586206,3.80937772902578e-05
0.02,6,"True",360,0.00529178061490759,0.00529178061490759,0,0
0.02,6,"SoftProxy",360,0.00447031262223775,0.00529178061490759,-0.000821467992669835,6.74809662981007e-07
0.02,6,"HardProxy",360,0.0103410640701529,0.00529178061490759,0.00504928345524531,2.5495263411414e-05
0.02,6,"IPW",360,0.00554573342642702,0.00529178061490759,0.000253952811519438,6.4492030478627e-08
0.02,6,"Augmented",360,0.00595124252905151,0.00529178061490759,0.000659461914143923,4.34890016206367e-07
0.02,6,"SoftProxyMisspecified",360,0.00678204232492502,0.00529178061490759,0.00149026171001744,2.22087996434409e-06
0.02,6,"AugmentedMisspecified",360,0.00635809104077486,0.00529178061490759,0.00106631042586727,1.13701792431324e-06
0.02,7,"True",391,0.00529178061490759,0.00529178061490759,0,0
0.02,7,"SoftProxy",391,0.011676521875376,0.00529178061490759,0.0063847412604684,4.07649209631276e-05
0.02,7,"HardProxy",391,0.0273824269127763,0.00529178061490759,0.0220906462978687,0.00048799665385754
0.02,7,"IPW",391,0.0104741359502972,0.00529178061490759,0.00518235533538956,2.68568068222407e-05
0.02,7,"Augmented",391,0.0113624486069794,0.00529178061490759,0.00607066799207178,3.68530098699648e-05
0.02,7,"SoftProxyMisspecified",391,0.00819852310974732,0.00529178061490759,0.00290674249483973,8.44915193130711e-06
0.02,7,"AugmentedMisspecified",391,0.0132331191574792,0.00529178061490759,0.00794133854257164,6.30648578477339e-05
0.02,8,"True",344,0.00529178061490759,0.00529178061490759,0,0
0.02,8,"SoftProxy",344,0.00555554277079219,0.00529178061490759,0.000263762155884602,6.95704748768931e-08
0.02,8,"HardProxy",344,0.0158300407647674,0.00529178061490759,0.0105382601498598,0.000111054926986123
0.02,8,"IPW",344,0.00725801022318234,0.00529178061490759,0.00196622960827475,3.86605887245629e-06
0.02,8,"Augmented",344,0.00450770446762419,0.00529178061490759,-0.000784076147283394,6.1477540473877e-07
0.02,8,"SoftProxyMisspecified",344,0.00498433068770963,0.00529178061490759,-0.000307449927197953,9.45254577340269e-08
0.02,8,"AugmentedMisspecified",344,0.00550468632459179,0.00529178061490759,0.0002129057096842,4.53288412161331e-08
0.02,9,"True",368,0.00529178061490759,0.00529178061490759,0,0
0.02,9,"SoftProxy",368,0.00482595128627153,0.00529178061490759,-0.000465829328636055,2.16996963417518e-07
0.02,9,"HardProxy",368,0.0100001819101933,0.00529178061490759,0.00470840129528569,2.21690427574479e-05
0.02,9,"IPW",368,0.00888012110891061,0.00529178061490759,0.00358834049400302,1.28761875009018e-05
0.02,9,"Augmented",368,0.00454450302404516,0.00529178061490759,-0.000747277590862423,5.58423797805146e-07
0.02,9,"SoftProxyMisspecified",368,0.00571111159352669,0.00529178061490759,0.0004193309786191,1.75838469629652e-07
