"audit_rate","replicate","method","path_type","lambda","audited_train_n","audited_validation_n","selection_estimated_moment","selection_baseline_moment","selection_target_moment","selection_feasible","validation_estimated_moment","selected_converged","selected_gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,3,"SoftProxy","exact",100,172,68,0.0083280733161825,0.0200155881930137,0.0100077940965069,TRUE,0.00833667739153681,TRUE,1.58749806859459e-05,0.467238809756478,0.726376435311642,0.79746835443038,0.0120388418389143,0.00662402032408704,0.0120388418389143,0.00662402032408704,0.0135410125958458,0.00537534389160987,0.0135410125958458,0.00537534389160987
0.01,3,"IPW","exact",31.6227766016838,172,68,0.0118572770674991,0.0249057213873845,0.0124528606936923,TRUE,0.0176466666040825,TRUE,1.64027008657846e-05,0.463314049170511,0.733961186663707,0.807461692205197,0.0148007592589321,0.0087472287922935,0.0148007592589321,0.0087472287922935,0.0175206621153484,0.00841915048123076,0.0175206621153484,0.00841915048123076
0.01,3,"Augmented","exact",100,172,68,0.00694206890479818,0.0233187678949108,0.0116593839474554,TRUE,0.0221822656801641,TRUE,9.0935712275023e-06,0.468909899317291,0.725042548605146,0.796968687541639,0.0124365507394877,0.0071189393919715,0.0124365507394877,0.0071189393919715,0.0116885970633852,0.00563266493612469,0.0116885970633852,0.00563266493612469
0.01,3,"AugmentedMisspecified","exact",100,172,68,0.00636800741683988,0.017356126716738,0.00867806335836899,TRUE,0.0198498573538555,TRUE,1.51887096093877e-05,0.465104556359337,0.728606818715595,0.804796802131912,0.0144494888672472,0.00869368679706606,0.0144494888672472,0.00869368679706606,0.0121479033497122,0.0054130147652437,0.0121479033497122,0.0054130147652437
0.02,1,"Unconstrained","exact",0,383,136,0.00339871701186733,0.00339871701186733,0.00339871701186733,TRUE,0.00323269254523182,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.02,1,"Oracle","exact",1000,383,136,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.02,1,"SoftProxy","exact",316.227766016838,383,136,0.0014581491923787,0.00339871701186743,0.00169935850593372,TRUE,0.0012813875028333,TRUE,1.35239036370339e-05,0.45983934613406,0.73945566740986,0.811792138574284,0.0186966437249354,0.0117945668661511,0.0186966437249354,0.0117945668661511,0.0166268643736144,0.00644461715091138,0.0166268643736144,0.00644461715091138
0.02,1,"IPW","exact",100,383,136,0.00173087721937762,0.00580894098863909,0.00290447049431954,TRUE,0.000456566747270446,TRUE,1.39672234036032e-05,0.460512265584614,0.73806547820128,0.810626249167222,0.0205643535548004,0.013779718489806,0.0205643535548004,0.013779718489806,0.0180323810352077,0.00706357858231177,0.0180323810352077,0.00706357858231177
0.02,1,"Augmented","exact",316.227766016838,383,136,0.00121392770497677,0.00483367508198836,0.00241683754099418,TRUE,0.00109478252024552,TRUE,1.51256987946525e-05,0.460072263468588,0.738538097490195,0.810626249167222,0.018034999005674,0.0112636743480715,0.018034999005674,0.0112636743480715,0.013947210505718,0.00568366550350585,0.013947210505718,0.00568366550350585
0.02,1,"AugmentedMisspecified","exact",316.227766016838,383,136,0.0013320346038762,0.00503255296589063,0.00251627648294531,TRUE,0.00135735041503513,TRUE,9.40741216343664e-06,0.460573991478863,0.737328558881157,0.811792138574284,0.0175961015562894,0.0108741459600536,0.0175961015562894,0.0108741459600536,0.0131196242988215,0.00457440316296254,0.0131196242988215,0.00457440316296254
